               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12078,           0.0034524,            0.033647,            0.027046,            0.018501,            0.014675,           0.0035147,            0.090975,           0.0099123,            0.026598,            0.070018,           0.0033314,           0.0033314
                   1,             0.10921,           0.0021734,            0.027277,            0.012411,             0.11415,            0.025365,           0.0066439,            0.093241,           0.0087015,            0.028751,            0.039798,           0.0064448,           0.0064448
                   2,             0.11415,           0.0017469,            0.026887,             0.01407,             0.10939,            0.023787,           0.0066156,            0.094284,           0.0083269,            0.022575,           0.0093579,           0.0093382,           0.0093382
                   3,             0.11389,           0.0016939,             0.02634,            0.039397,             0.19195,            0.043959,            0.009371,            0.089902,           0.0087689,            0.019426,             0.00901,             0.00901,             0.00901
                   4,             0.10997,           0.0018475,            0.024845,            0.026367,             0.22539,            0.062023,             0.01831,            0.088267,           0.0091094,             0.02202,             0.00901,             0.00901,             0.00901
                   5,             0.10441,           0.0019756,            0.023831,            0.024407,             0.26504,            0.084325,            0.026427,              0.0872,           0.0092031,            0.022302,             0.00868,             0.00868,             0.00868
                   6,             0.10221,           0.0020162,            0.023111,            0.012714,             0.32503,            0.086043,            0.025141,            0.081919,            0.009661,            0.017759,             0.00835,             0.00835,             0.00835
                   7,            0.099941,           0.0020529,            0.022403,           0.0099226,             0.36908,             0.12874,            0.044429,            0.079393,           0.0097789,            0.017424,             0.00802,             0.00802,             0.00802
                   8,            0.097046,            0.002042,            0.021115,            0.011988,             0.35825,              0.1401,            0.049062,            0.077465,            0.010085,            0.017752,             0.00769,             0.00769,             0.00769
                   9,            0.096844,           0.0021125,            0.021425,            0.012295,             0.37412,             0.13637,            0.047382,            0.076148,            0.010193,               0.018,             0.00736,             0.00736,             0.00736
                  10,            0.093126,           0.0021483,            0.019813,            0.017336,             0.37584,             0.16621,            0.058883,            0.075231,            0.010362,            0.016755,             0.00703,             0.00703,             0.00703
                  11,             0.09221,            0.002124,            0.020119,             0.16552,             0.22335,             0.15762,             0.05609,            0.074174,            0.010274,            0.017511,              0.0067,              0.0067,              0.0067
                  12,            0.092228,           0.0021205,            0.020093,             0.18645,             0.27478,             0.18956,            0.067449,            0.073277,            0.010343,            0.015995,             0.00637,             0.00637,             0.00637
                  13,            0.090276,           0.0021212,            0.019449,             0.28631,             0.24282,             0.19505,            0.073333,            0.071668,            0.010496,            0.016544,             0.00604,             0.00604,             0.00604
                  14,            0.087491,           0.0021751,            0.019273,             0.64102,            0.081262,             0.18665,            0.070164,            0.070882,            0.010216,            0.015485,             0.00571,             0.00571,             0.00571
                  15,            0.087229,           0.0021705,            0.018417,             0.64691,            0.096866,             0.21822,             0.09029,            0.070448,             0.01037,             0.01558,             0.00538,             0.00538,             0.00538
                  16,            0.084635,           0.0022194,            0.019069,              0.6156,              0.1188,             0.23837,            0.095636,            0.068115,            0.010305,            0.014879,             0.00505,             0.00505,             0.00505
                  17,            0.085274,           0.0021627,            0.018214,              0.8798,             0.12998,             0.23409,            0.096084,            0.068264,            0.010104,            0.014971,             0.00472,             0.00472,             0.00472
                  18,            0.083075,           0.0021658,            0.017991,             0.90233,             0.14322,             0.24334,             0.10022,            0.067844,            0.010054,            0.014872,             0.00439,             0.00439,             0.00439
                  19,            0.082014,           0.0021175,            0.017385,             0.88809,             0.15125,             0.25211,             0.10547,            0.067154,           0.0099716,            0.014764,             0.00406,             0.00406,             0.00406
                  20,            0.080221,           0.0021816,            0.017461,             0.88155,             0.15318,             0.24744,             0.10335,            0.066581,           0.0099414,            0.014302,             0.00373,             0.00373,             0.00373
                  21,            0.080925,           0.0021516,            0.017056,             0.85278,              0.1709,             0.25347,             0.10751,            0.065739,            0.010014,            0.014497,              0.0034,              0.0034,              0.0034
                  22,            0.077944,           0.0021921,            0.016094,             0.84105,             0.17658,             0.25169,              0.1072,            0.065541,           0.0098982,            0.014391,             0.00307,             0.00307,             0.00307
                  23,            0.077374,           0.0021933,            0.016361,             0.79961,             0.18582,             0.24855,             0.10589,             0.06532,           0.0098424,            0.014205,             0.00274,             0.00274,             0.00274
                  24,            0.075562,           0.0021574,            0.015575,             0.80775,               0.192,             0.25684,             0.11033,             0.06514,           0.0097648,            0.014509,             0.00241,             0.00241,             0.00241
                  25,            0.073602,           0.0021414,            0.015424,             0.80263,             0.20023,             0.26031,              0.1119,            0.065043,           0.0097051,            0.014246,             0.00208,             0.00208,             0.00208
                  26,            0.072426,            0.002162,            0.014995,             0.79387,             0.20504,             0.26184,             0.11308,            0.064905,           0.0095608,            0.014112,             0.00175,             0.00175,             0.00175
                  27,            0.070266,            0.002171,            0.014838,             0.76146,             0.20285,             0.25636,             0.11067,            0.064656,           0.0095375,            0.014071,             0.00142,             0.00142,             0.00142
                  28,            0.068889,           0.0021878,            0.014848,             0.74358,             0.20687,             0.25493,             0.11019,            0.064492,           0.0094718,            0.013979,             0.00109,             0.00109,             0.00109
                  29,            0.068153,           0.0021591,            0.014501,             0.72138,             0.20873,             0.25083,             0.10763,            0.064518,           0.0094546,            0.014004,             0.00076,             0.00076,             0.00076
